                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.141,                 1.5602,                 1.5977,                0.52837,                0.59926,                0.59152,                0.39356,                 1.1774,                 2.9577,                 1.7062,              0.0033289,              0.0033289,              0.0033289
                      2,                 1.1571,                 1.2528,                 1.5858,                0.47543,                0.49291,                0.48895,                0.31318,                 1.4184,                 6.0591,                 1.9298,              0.0066292,              0.0066292,              0.0066292
                      3,                 1.2766,                 1.4709,                 1.6847,                0.47068,                 0.3154,                0.31527,                0.16981,                 1.9657,                 3.4824,                 2.3338,              0.0098966,              0.0098966,              0.0098966
                      4,                 1.3372,                 1.6248,                 1.7525,                0.55985,                0.45614,                0.49243,                0.29872,                 1.5338,                 3.1412,                 2.0033,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2898,                 1.5051,                  1.696,                0.64462,                0.40606,                0.48367,                0.30771,                 1.4689,                 3.1539,                 1.9415,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.2157,                 1.3891,                 1.6341,                0.71212,                0.57264,                0.64069,                0.42431,                 1.3144,                 2.4772,                 1.7453,               0.009802,               0.009802,               0.009802
                      7,                 1.1762,                 1.3229,                 1.5991,                 0.6549,                0.57505,                0.64824,                0.44208,                 1.2833,                 2.1336,                  1.726,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.1499,                 1.2735,                 1.5739,                0.74897,                0.61646,                0.72844,                 0.4932,                 1.1931,                 1.5347,                  1.613,               0.009703,               0.009703,               0.009703
                      9,                 1.1331,                 1.2174,                 1.5603,                 0.7232,                0.61366,                0.70542,                0.48257,                  1.199,                 2.0195,                 1.6157,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.1058,                 1.1886,                 1.5402,                0.72398,                0.62262,                0.71352,                0.48603,                 1.1918,                 1.8608,                 1.6062,               0.009604,               0.009604,               0.009604
