                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2529,                 2.3303,                 1.6352,                 0.5507,                0.45064,                0.49973,                0.30916,                 1.2582,                 5.0366,                 1.6553,              0.0033289,              0.0033289,              0.0033289
                      2,                 1.2351,                 1.7755,                 1.6018,                0.40601,                0.46559,                0.44042,                0.25321,                 1.4905,                  3.438,                 1.9246,              0.0066292,              0.0066292,              0.0066292
                      3,                 1.3243,                  1.724,                 1.6827,                0.49795,                0.37986,                0.40343,                0.22242,                 1.7279,                 3.9691,                 2.1151,              0.0098966,              0.0098966,              0.0098966
                      4,                 1.3666,                 1.7261,                  1.733,                0.58526,                0.44117,                0.49499,                0.29887,                  1.487,                 4.6477,                 1.9662,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3305,                 1.6113,                 1.6926,                0.50964,                 0.4605,                0.47802,                0.30202,                 1.4451,                 2.8079,                  1.872,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.2649,                 1.4972,                 1.6383,                 0.6962,                0.54401,                0.63621,                0.39078,                  1.438,                 2.9435,                 1.8057,               0.009802,               0.009802,               0.009802
                      7,                 1.2327,                 1.4346,                 1.6105,                0.68104,                0.54373,                0.62444,                0.40489,                 1.3731,                 2.5867,                 1.7802,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.2043,                 1.4014,                 1.5932,                 0.6372,                0.57428,                0.64952,                0.41573,                  1.326,                 2.1991,                 1.7066,               0.009703,               0.009703,               0.009703
                      9,                 1.1974,                 1.3482,                 1.5851,                0.72565,                0.58841,                0.67238,                0.42682,                 1.3398,                 1.7519,                 1.7147,              0.0096535,              0.0096535,              0.0096535
                     10,                  1.175,                 1.3272,                 1.5683,                0.73275,                0.62619,                0.70716,                0.45518,                 1.2988,                 2.2201,                 1.6839,               0.009604,               0.009604,               0.009604
